type	latitude	longitude	altitude (m)	color	opacity	name	desc
T	-1.364665602	36.728586903	1831.8				
T	-1.364159188	36.728639420	1832.3				
T	-1.364048692	36.728549283	1832.8				
T	-1.364970365	36.728556029	1831.7				
T	-1.368234457	36.728607830	1820.7				
T	-1.375345466	36.728497114	1765.4				
T	-1.379873674	36.728271336	1784.6				
T	-1.384266600	36.727922264	1780.0				
T	-1.388470164	36.727713266	1777.1				
T	-1.392343035	36.727305346	1772.0				
T	-1.395203191	36.726980356	1754.3				
T	-1.397783352	36.726899984	1745.6				
T	-1.399533973	36.726818115	1745.9				
T	-1.400850396	36.726715775	1757.0				
T	-1.402066159	36.726612448	1765.5				
T	-1.403080015	36.726521524	1770.7				
T	-1.404006073	36.726533681	1770.6				
T	-1.404425462	36.726591830	1771.9				
T	-1.404475328	36.727105516	1776.8				
T	-1.403489674	36.727510534	1779.3				
T	-1.401291444	36.728013688	1759.5				
T	-1.397677130	36.729004662	1758.8				
T	-1.393970730	36.730122074	1770.0				
T	-1.390758938	36.730968948	1771.6				
T	-1.387854434	36.731784710	1769.7				
T	-1.384726069	36.732415587	1772.0				
T	-1.379791541	36.733534252	1772.2				
T	-1.378343653	36.733744819	1750.6				
T	-1.376037467	36.734028931	1786.8				
T	-1.375227609	36.734117116	1789.0				
T	-1.374316969	36.734216115	1788.9				
T	-1.373912410	36.734260081	1791.1				
